Timestamp,GyroX,GyroY,GyroZ,AccX,AccY,AccZ
12:01.7,0.026465412,-0.03206626,-0.061940294,0.078246385,-0.056670628,-1.001220763
12:01.7,0.007306304,-0.027439814,-0.052786082,0.077636033,-0.064528901,-0.990844786
12:01.7,-0.029183736,-0.012351587,-0.055351768,0.073577181,-0.062819906,-0.995819151
12:01.7,-0.028440436,-0.013638561,-0.045952871,0.079650164,-0.059432454,-1.000595152
12:01.7,-0.014502866,-0.013792315,-0.028231531,0.077773333,-0.059920736,-0.994659483
12:01.7,0.012334924,-0.00603457,-0.022177702,0.078658327,-0.059935983,-0.99003607
12:01.7,0.018529098,0.009838447,-0.008698979,0.077147715,-0.06164496,-0.996704161
12:01.7,0.015579004,0.007826205,0.001085143,0.079787478,-0.060195372,-0.99935919
12:01.7,-7.47E-05,0.002658032,0.015567612,0.075820185,-0.064681455,-0.997390807
12:01.7,0.010708133,0.003876339,0.010768463,0.071456172,-0.065703791,-0.9926911
12:01.7,0.012440846,-0.006377008,0.008017417,0.07345508,-0.057753973,-0.99545294
12:01.7,0.016302574,-0.003236697,0.016405709,0.067153208,-0.061110899,-0.993637145
12:01.8,0.002290854,-0.002516447,0.023714554,0.070403315,-0.05990544,-0.99142462
12:01.8,-0.005378353,-0.003602394,0.010171714,0.071349353,-0.054641157,-0.989608824
12:01.8,-0.006485481,0.014871289,0.00280428,0.065764643,-0.056273852,-0.992965758
12:01.8,0.005165562,0.007293175,-0.000444245,0.073729709,-0.051680941,-0.993637145
12:01.8,0.022806967,-0.002726658,-0.012994325,0.069670893,-0.051925093,-0.997894347
12:01.8,0.006013922,-0.008387872,-0.025331352,0.067839839,-0.05700627,-1.000701964
12:01.8,-0.019344974,-0.007002363,-0.041593213,0.064055659,-0.061599169,-0.989120543
12:01.8,-0.040275197,0.001278781,-0.052339531,0.066664889,-0.057876021,-0.989151061
12:01.8,-0.03730689,0.004135864,-0.044592068,0.071852878,-0.05412237,-0.982772887
12:01.8,-0.024661126,0.015033652,-0.03368875,0.077193446,-0.050078783,-0.972137511
12:01.8,-0.050959833,0.013214048,-0.032270018,0.09570235,-0.037276667,-0.957107604
12:01.8,-0.130584985,0.031644054,0.063492395,0.135207348,-0.057204649,-0.90296942
12:01.9,-0.5932042,-0.255864412,-0.597024322,0.204543285,-0.099364743,-0.834610045
12:01.9,-1.306124449,0.063552983,0.656533241,0.269972958,-0.117126213,-0.718566895
12:01.9,-2.239703655,0.232658908,0.919646204,0.38076701,-0.239151146,-0.697113097
12:01.9,-3.10157156,0.155695736,1.445669532,0.507460661,-0.071305059,-0.546249449
12:01.9,-3.924969912,0.210439235,2.021089792,0.501982659,0.129469275,-0.38797015
12:01.9,-4.965040684,0.186597809,2.757202864,0.422224782,0.265424132,-0.282196522
12:01.9,-5.417167664,0.490204185,3.328061581,0.306181282,0.540950954,-0.236741066
12:01.9,-3.460237265,0.551874876,3.689015627,0.379438192,0.940928817,-0.359452903
12:01.9,-2.829157352,1.330255985,4.031514645,0.249341041,0.943781912,-0.475084424
12:01.9,-4.071482182,1.471903801,4.331011295,0.360546112,0.499216735,-0.542925775
12:01.9,-5.183758259,1.471847653,4.64230299,0.477320731,0.422586977,-0.313144505
12:01.9,-6.759485245,1.20346272,4.94171524,0.628641188,0.341532171,-0.262608558
12:02.0,-7.773618698,-0.75906986,4.430984974,1.037484288,0.553537905,-0.1971955
12:02.0,-7.615178585,-3.024936914,4.10794735,1.152595818,0.924601376,-0.553214431
